,value,count
0,6,1436
1,7,872
2,8,595
3,9,413
4,10,330
5,11,250
6,12,186
7,13,162
8,14,113
9,15,103
10,16,99
11,17,49
12,18,59
13,19,50
14,20,31
15,21,28
16,22,20
17,23,18
18,24,18
19,25,10
20,26,11
21,27,12
22,28,7
23,29,9
24,30,3
25,31,6
26,32,6
27,33,8
28,34,2
29,35,3
30,36,4
31,37,5
32,38,2
33,39,2
34,40,1
35,41,1
36,42,3
37,43,2
38,44,5
39,45,1
40,46,1
41,47,1
42,52,1
43,53,1
44,54,1
45,60,1
46,64,1
47,67,1
48,74,1
49,79,1
50,80,1
51,109,1
52,110,1
53,119,1
54,123,1
55,126,1
56,157,1
57,179,1
58,189,1
59,193,1
60,200,1
61,209,1
62,225,1
63,229,2
64,245,1
65,260,1
66,318,1
67,321,1
68,358,1
69,372,1
70,376,1
71,389,1
72,409,1
73,425,1
74,610,1
75,640,1
76,651,1
77,652,1
78,661,1
79,679,1
80,699,1
81,785,1
82,897,1
83,919,1
84,925,1
85,954,2
86,971,1
87,1077,1
88,1246,1
89,1250,1
90,1615,1
91,1772,1
92,1809,1
93,1862,1
94,2121,1
95,2771,1
96,3154,1
97,3303,1
98,3458,1
99,4194,1
100,4646,1
101,5953,1
102,7556,1
